index,return_code,subdir_count,mapped_count,subdirs,mapped_mlirs,command
14,0,1,1,fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_bd1b24beac540bdfac66ebdd2a23d60cd9da9854_512xbfloat16_24576x512xbfloat16_512x512xbfloat16,fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_bd1b24beac540bdfac66ebdd2a23d60cd9da9854_512xbfloat16_24576x512xbfloat16_512x512xbfloat16.mlir,"aten::addmm '[[512], [24576, 512], [512, 512], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [512, 1], [1, 512], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
15,0,1,1,fused_op_mm_e1cc357a6bfddbbab8376068d9ebb155049bcc70_24576x512xbfloat16_512x512xbfloat16,fused_op_mm_e1cc357a6bfddbbab8376068d9ebb155049bcc70_24576x512xbfloat16_512x512xbfloat16.mlir,"aten::mm '[[24576, 512], [512, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[512, 1], [512, 1]]' '['""'""''""'""', '""'""''""'""']'"
16,0,1,1,fused_op_mm_36c13bd10c7cf5203d16246e2317b0fb842c2377_24576x2048xbfloat16_24576x1536xbfloat16,fused_op_mm_36c13bd10c7cf5203d16246e2317b0fb842c2377_24576x2048xbfloat16_24576x1536xbfloat16.mlir,"aten::mm '[[2048, 24576], [24576, 1536]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [1536, 1]]' '['""'""''""'""', '""'""''""'""']'"
17,0,1,1,fused_op_mm_6c3244b7ab8b444a2c8d6561764827054787f5de_4112x2048xbfloat16_2048x8192xbfloat16,fused_op_mm_6c3244b7ab8b444a2c8d6561764827054787f5de_4112x2048xbfloat16_2048x8192xbfloat16.mlir,"aten::mm '[[4112, 2048], [2048, 8192]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [8192, 1]]' '['""'""''""'""', '""'""''""'""']'"
18,0,1,1,fused_op_mm_61526b2842a4ce8bcb032dd1bdb8cfefcf663053_4112x2048xbfloat16_4112x8192xbfloat16,fused_op_mm_61526b2842a4ce8bcb032dd1bdb8cfefcf663053_4112x2048xbfloat16_4112x8192xbfloat16.mlir,"aten::mm '[[2048, 4112], [4112, 8192]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [8192, 1]]' '['""'""''""'""', '""'""''""'""']'"
19,0,1,1,fused_op_mm_30fb13ca54bad673af6a17af15544e136318cef7_4112x8192xbfloat16_4112x2048xbfloat16,fused_op_mm_30fb13ca54bad673af6a17af15544e136318cef7_4112x8192xbfloat16_4112x2048xbfloat16.mlir,"aten::mm '[[8192, 4112], [4112, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 8192], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
20,0,1,1,fused_op_mm_7fb15a929dc009f84f65e883e3d05935f010d193_4112x8192xbfloat16_2048x8192xbfloat16,fused_op_mm_7fb15a929dc009f84f65e883e3d05935f010d193_4112x8192xbfloat16_2048x8192xbfloat16.mlir,"aten::mm '[[4112, 8192], [8192, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[8192, 1], [1, 8192]]' '['""'""''""'""', '""'""''""'""']'"
21,0,1,1,fused_op_mm_a55123289a70f6abd28f3a20cd8a39c37fbfca31_24576x512xbfloat16_512x2048xbfloat16,fused_op_mm_a55123289a70f6abd28f3a20cd8a39c37fbfca31_24576x512xbfloat16_512x2048xbfloat16.mlir,"aten::mm '[[24576, 512], [512, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[512, 1], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
22,0,1,1,fused_op_mm_5902e7b3f2e5a4dfdc641807593e4ca6e591f540_4112x8192xbfloat16_8192x2048xbfloat16,fused_op_mm_5902e7b3f2e5a4dfdc641807593e4ca6e591f540_4112x8192xbfloat16_8192x2048xbfloat16.mlir,"aten::mm '[[4112, 8192], [8192, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[8192, 1], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
23,0,1,1,fused_op_mm_18c23fe92b497b139d9de32ced7c5499bd4e8a96_24576x512xbfloat16_24576x2048xbfloat16,fused_op_mm_18c23fe92b497b139d9de32ced7c5499bd4e8a96_24576x512xbfloat16_24576x2048xbfloat16.mlir,"aten::mm '[[512, 24576], [24576, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 512], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
