filename,M,N,K,batch,tuning_folder_path,proxy_shapes
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_650376670eca97b03ec2126fdbb308b68b6d63ba_2268xbfloat16_150000x4096xbfloat16_2268x4096xbfloat16.mlir,150000,2268,4096,1,,"aten::addmm '[[2268], [150000, 4096], [4096, 2268], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [4096, 1], [1, 4096], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_6f4e0ef8c9f4e1409baf5934af9c1ec1bc8f3920_128xbfloat16_32768x512xbfloat16_128x512xbfloat16.mlir,32768,128,512,1,,"aten::addmm '[[128], [32768, 512], [512, 128], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [512, 1], [1, 512], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_80664950801b4a78801e56bf6c98c0cff266881e_2048xbfloat16_1285x2048xbfloat16_2048x2048xbfloat16.mlir,1285,2048,2048,1,,"aten::addmm '[[2048], [1285, 2048], [2048, 2048], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [2048, 1], [1, 2048], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_86e98178fb92d76ed87f731e22d3d4db9e7681ee_3840xbfloat16_1280x3840xbfloat16_3840x3840xbfloat16.mlir,1280,3840,3840,1,,"aten::addmm '[[3840], [1280, 3840], [3840, 3840], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [3840, 1], [1, 3840], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_8bf9de24ecc4e18bbac00f9db6d1fb92a3b85f1c_3840xbfloat16_2304x3840xbfloat16_3840x3840xbfloat16.mlir,2304,3840,3840,1,,"aten::addmm '[[3840], [2304, 3840], [3840, 3840], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [3840, 1], [1, 3840], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_8eb21a7f895506f3ecba908e05d9c74cbeca735c_512xbfloat16_7680x512xbfloat16_512x512xbfloat16.mlir,7680,512,512,1,,"aten::addmm '[[512], [7680, 512], [512, 512], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [512, 1], [1, 512], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_9542f6153fb34fbdf8c063a5cd6f07177210c3d8_4096xbfloat16_150000x1024xbfloat16_4096x1024xbfloat16.mlir,150000,4096,1024,1,,"aten::addmm '[[4096], [150000, 1024], [1024, 4096], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [1024, 1], [1, 1024], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_960dabb110077c65f6fcb64cf7a14475d882ce22_4096xbfloat16_150000x4096xbfloat16_4096x4096xbfloat16.mlir,150000,4096,4096,1,,"aten::addmm '[[4096], [150000, 4096], [4096, 4096], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [4096, 1], [1, 4096], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_9d39ac4475c7ad105466cf8ad3b9aa67ee64f9bb_576xbfloat16_24576x2048xbfloat16_576x2048xbfloat16.mlir,24576,576,2048,1,,"aten::addmm '[[576], [24576, 2048], [2048, 576], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [2048, 1], [1, 2048], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_b0ff381f59f3172bc6d3c92b3cfc69c4a22da253_576xbfloat16_7680x3840xbfloat16_576x3840xbfloat16.mlir,7680,576,3840,1,,"aten::addmm '[[576], [7680, 3840], [3840, 576], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [3840, 1], [1, 3840], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
